Name,Score
Ore no Kanojo to Osananajimi ga Shuraba Sugiru,0.28118931232402833
Hotaru no Haka,0.2799859902622006
Kizumonogatari II: Nekketsu-hen,0.2797126438230606
Nanatsu no Taizai: Seisen no Shirushi,0.2796325502787434
Boruto: Naruto the Movie,0.27946993173210477
"Gate: Jieitai Kanochi nite, Kaku Tatakaeri 2nd Season",0.2792973197260211
Overlord III,0.27919601296153657
K-On!!,0.2789273681617292
Enen no Shouboutai,0.27879868410439634
Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai. Movie,0.27735210954050826
Isshuukan Friends.,0.27717963460456463
Sankarea,0.2765956967223826
Suzumiya Haruhi no Yuuutsu,0.2764648814191143
Blend S,0.27630099527004737
Love Live! School Idol Project,0.2760418553998828
Kami nomi zo Shiru Sekai,0.27484811962334643
Bakemono no Ko,0.27483728535227503
Boku no Hero Academia the Movie 1: Futari no Hero,0.27460621895489573
Bakuman. 3rd Season,0.27437211484251206
Usagi Drop,0.2739758571276521
Kakegurui××,0.2738037558016897
Kizumonogatari III: Reiketsu-hen,0.2734256735916486
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka II,0.27273942014057484
Bakuman. 2nd Season,0.2725475170891085
Suzumiya Haruhi no Shoushitsu,0.27226167541983426
Ookami to Koushinryou,0.27179479730757466
Absolute Duo,0.2717717308730626
Mirai Nikki: Redial,0.27156341956880525
91 Days,0.2712449668641788
Kono Subarashii Sekai ni Shukufuku wo!: Kurenai Densetsu,0.271069633209645
Shingeki no Kyojin: Kuinaki Sentaku,0.2708789733332993
Shinmai Maou no Testament,0.2707647581847284
Owarimonogatari,0.2705222280154182
Shokugeki no Souma: Shin no Sara,0.2702238655260193
Zetsuen no Tempest,0.26977415959943524
Net-juu no Susume,0.2695183574733373
Fate/stay night,0.26905537255441
Hentai Ouji to Warawanai Neko.,0.2686211232932108
Monster Musume no Iru Nichijou,0.2680785336650464
Ouran Koukou Host Club,0.2678441512163881
Koi to Uso,0.2666837612175531
Mahoutsukai no Yome,0.2661484294307077
Zero no Tsukaima,0.2658390678040378
JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai,0.26501563668306527
Inuyashiki,0.263787229599415
Neon Genesis Evangelion: The End of Evangelion,0.2618544947713233
Aldnoah.Zero 2nd Season,0.26179552773578785
Ajin,0.26163600009230303
Netoge no Yome wa Onnanoko ja Nai to Omotta?,0.2614976023303631
Fate/stay night: Unlimited Blade Works Prologue,0.2613473763302415
Mondaiji-tachi ga Isekai kara Kuru Sou Desu yo?,0.2608662310613161
Sayonara no Asa ni Yakusoku no Hana wo Kazarou,0.25929166417166677
Grisaia no Rakuen,0.2586871991857246
Chihayafuru,0.2582273450841676
Kamisama Hajimemashita,0.2579418364711865
Haikyuu!!: To the Top 2nd Season,0.2574051614497942
White Album 2,0.2569000625954638
Strike the Blood,0.25561040757576836
Watashi ga Motenai no wa Dou Kangaetemo Omaera ga Warui!,0.2555807901916247
Kuroshitsuji,0.2542949911485881
Free!: Eternal Summer,0.25350612800513433
The God of High School,0.25314936749423256
Hinamatsuri,0.2528122073827215
Akagami no Shirayuki-hime 2nd Season,0.2523745424684906
Samurai Champloo,0.251796277662631
Tokyo Ghoul:re 2nd Season,0.25166769249677357
Summer Wars,0.2515778487643776
Durarara!!x2 Ten,0.2511419704233083
Gangsta.,0.25068089280263284
School Days,0.2505611395458633
Mekakucity Actors,0.2505457555984246
Kiss x Sis (TV),0.25042817208895607
Noragami OVA,0.2501889341587838
Kyoukai no Kanata Movie 2: I'll Be Here - Mirai-hen,0.25008322616367534
Blood Lad,0.2500292513063618
